Symbol,Market_Cap_Atual
CATY,4081790072.75
CBAT,57619793.4
CBC,6948481334.76
CBFV,187585154.78
CBIO,482508862.5
CBK,434604252.68
CBLL,697766253.0
CBNK,557051481.0
CBRL,1038448831.6
CBRS,7821840000.0
CBSH,8157689761.68
CBUS,104574338.58
CCAP,415253879.04
CCAQ,151055739.59
CCAQU,0.0
CCAQW,0.0
CCB,1122464756.88
CCBG,822064730.63
CCC,2570799547.68
CCCC,466593676.84
CCD,721431361.16
CCEC,1214892723.45
CCEP,43290312080.73
CCFE,0.0
CCG,25770022.8
CCGWW,0.0
CCHH,13301200.0
CCII,268786600.0
CCIIU,0.0
CCIIW,4427500.0
CCIX,318919500.0
CCIXU,0.0
CCIXW,11484000.0
CCLD,93909417.29
CCNE,979535169.78
CCNEP,0.0
CCNR,0.0
CCOI,709099708.08
CCRN,426122523.96
CCSB,0.0
CCSI,621114792.0
CCSO,0.0
CCTG,2764930.95
CCXI,436598000.0
CCXIU,0.0
CCXIW,0.0
CD,371796984.0
CDC,0.0
CDIG,0.0
CDIO,6510831.8
CDIOW,0.0
CDL,0.0
CDLX,31013988.42
CDNA,1297686162.72
CDNL,1112484189.32
CDNS,104550812960.0
CDRO,441512874.65
CDROW,0.0
CDT,5587102.5
CDTG,5981580.0
CDTTW,0.0
CDW,16615613837.06
CDXS,217242795.13
CDZI,342231184.02
CDZIP,0.0
CECO,5645821006.77
CEFA,0.0
CEG,96510391114.42
CELC,4399206840.48
CELH,7198832537.6
CELU,20262172.7
CELUW,0.0
CELZ,7282435.96
CENN,9689226.36
CENT,417758067.09
CENTA,1945985537.28
CENX,4684441644.51
CEPF,473688000.0
CEPI,0.0
CEPO,214430000.0
CEPS,122366000.0
CEPT,261777000.0
CEPV,264339000.0
CERS,518955642.66
CERT,840048883.2
CETX,4348635.53
CETY,10341190.1
CEVA,1267044102.12
CFA,0.0
CFBK,197137409.8
CFFI,257485121.44
CFFN,1031215615.64
CFO,0.0
CG,15446502662.57
CGABL,0.0
CGBD,745009212.16
CGC,401047147.4
CGCT,328440000.0
CGCTU,0.0
CGCTW,0.0
CGEM,1090880316.5
CGEN,191060964.72
CGNT,601440201.12
CGNX,10644188085.96
CGO,134732200.74
CGON,5797548550.29
CGTL,7234500.0
CGTX,147671724.75
CHA,1440616234.12
CHAI,17294558.34
CHAR,92389870.24
CHARR,0.0
CHARU,0.0
CHCI,151187008.68
CHCO,1829089336.92
CHDN,6016237098.56
CHEC,132669280.0
CHECU,0.0
CHECW,0.0
CHEF,3840437099.22
CHGX,0.0
CHI,1049188231.0
CHKP,12888005009.23
CHMG,354738752.0
CHNR,5251701.84
CHPG,89445757.5
CHPGR,0.0
CHPGU,0.0
CHPS,0.0
CHPX,0.0
CHR,3727815.06
CHRD,7005870332.52
CHRI,0.0
CHRN,3694671097.42
CHRS,225204854.0
CHRW,21080414831.28
CHSCL,0.0
CHSCM,0.0
CHSCN,0.0
CHSCO,0.0
CHSCP,0.0
CHSN,2527033.11
CHTR,18600250115.75
CHW,563922537.21
CHY,1065179963.64
CHYM,5815943789.5
CIBR,0.0
CIFG,0.0
CIFR,11306119805.08
CIGI,4456635710.31
CIIT,8609777.23
CINF,27195476111.02
CING,65055443.88
CINGW,0.0
CISO,13140867.73
CISS,2773688.72
CIVB,569879402.16
CJMB,4178127.32
CLAR,116862117.44
CLBK,2062434217.7
CLBT,3177863268.58
CLDX,2588668534.56
CLFD,504984333.6
CLGN,5048138.55
CLIK,4462698.72
CLIR,22966432.23
CLLS,210573294.9
CLMB,409696316.0
CLMT,2861040836.01
CLNE,380988616.82
CLNN,73730831.39
CLOA,0.0
CLOD,0.0
CLOU,0.0
CLOV,2180705153.88
CLPS,28946573.16
CLPT,555706602.39
CLRB,19979530.0
CLRO,8079744.24
CLSK,4411101937.14
CLSKW,0.0
CLSM,0.0
CLST,66734727.12
CLWT,12525374.16
CLYM,704335182.9
CMBO,0.0
CMCO,404743898.52
CMCSA,81231479349.6
CMCT,9263444.58
CME,87533289445.38
CMGG,0.0
CMII,236176700.0
CMIIU,0.0
CMIIW,0.0
CMMB,10800567.0
CMND,4412086.47
CMPR,2128304464.7
CMPS,1707108898.0
CMPX,370981104.9
CMRC,223608181.24
CMTL,71607820.09
CMTV,227116696.86
CNCG,0.0
CNCK,404107708.51
CNCKW,0.0
CNDT,206278762.62
CNET,3558376.13
CNEY,5373200.48
CNOB,1663543381.52
CNOBP,0.0
CNQQ,0.0
CNSP,6269616.21
CNTA,6266618014.5
CNTB,131594452.77
CNTN,225469762.4
CNTX,59721465.05
CNTY,36573599.4
CNVS,60690368.1
CNXC,1484857464.84
CNXN,1775661448.33
CNXU,282300381.5
COAG,1361462701.5
COCH,50063721.5
COCHW,0.0
COCO,4725500081.82
COCP,14614700.18
CODA,106715932.84
CODX,11903564.22
COFS,489384143.8
COGT,6204217225.24
COHU,3036677086.39
COIG,0.0
COIN,35183483087.5
COKE,10343237295.34
COLA,47775886.57
COLAR,0.0
COLAU,88261061.9
COLB,9052363744.82
COLL,1122857428.98
COLM,3270453648.4
COMT,0.0
CONI,0.0
CONL,0.0
CONX,0.0
COO,12901276174.5
COOT,18341848.44
COOTW,0.0
COPJ,0.0
COPP,0.0
CORO,0.0
CORT,8572024780.9
CORZ,9269535114.72
CORZW,0.0
CORZZ,0.0
COSM,13036463.37
COST,424710781014.72
COTG,0.0
COWG,0.0
COWS,0.0
COYA,126434216.37
COYY,0.0
CPAG,0.0
CPB,6324954414.03
CPBI,78301585.44
CPHC,82714364.04
CPHY,0.0
CPIX,87351513.81
CPLS,0.0
CPOP,11377287.96
CPRT,27404019867.2
CPRX,3843980683.8
CPSH,111949682.88
CPSS,208306224.0
CPZ,249721507.68
CRAC,182729250.0
CRACR,0.0
CRACU,0.0
CRACW,0.0
CRAI,931129884.66
CRAN,357540000.0
CRANR,0.0
CRANU,0.0
CRAQ,243224800.0
CRAQR,0.0
CRAQU,0.0
CRBP,156745145.7
CRBU,164639754.5
CRCG,0.0
CRCT,239332667.4
CRDF,85462370.0
CRDL,121035852.0
CRDO,50723853034.98
CRE,6490380.6
CREG,6645107.04
CRESY,812093494.2
CREX,40261291.08
CRGO,74424237.12
CRGOW,0.0
CRIS,14032329.48
CRMD,674686262.6
CRMG,0.0
CRML,1426289791.63
CRMLW,0.0
CRMT,32047457.0
CRMU,0.0
CRNC,455493114.72
CRNT,239959354.8
CRNX,3786357869.28
CRON,1005150884.91
CROX,6019403958.72
CRSP,5317158070.72
CRSR,929875235.7
CRTO,872244988.72
CRUS,7960429846.04
CRVL,3025756832.65
CRVO,34442434.68
CRVS,1062062055.12
CRWD,173338277234.4
CRWG,0.0
CRWL,0.0
CRWS,29739847.86
CRWV,47317516831.08
CRY,0.0
CSAI,7245937.39
CSB,0.0
